"date","day","month","year","cases","deaths"
"2/13/2020","13","2","2020","0","0"
"2/12/2020","12","2","2020","0","0"
"2/11/2020","11","2","2020","0","0"
"2/10/2020","10","2","2020","1","0"
"2/9/2020","9","2","2020","0","0"
"2/8/2020","8","2","2020","0","0"
"2/7/2020","7","2","2020","0","0"
"2/6/2020","6","2","2020","0","0"
"2/5/2020","5","2","2020","0","0"
"2/4/2020","4","2","2020","0","0"
"2/3/2020","3","2","2020","0","0"
"2/2/2020","2","2","2020","0","0"
"2/1/2020","1","2","2020","1","0"
"1/31/2020","31","1","2020","0","0"
"1/30/2020","30","1","2020","0","0"
"1/29/2020","29","1","2020","0","0"
"1/28/2020","28","1","2020","0","0"
"1/27/2020","27","1","2020","0","0"
"1/26/2020","26","1","2020","0","0"
"1/25/2020","25","1","2020","0","0"
"1/24/2020","24","1","2020","0","0"
"1/23/2020","23","1","2020","0","0"
"1/22/2020","22","1","2020","0","0"
"1/21/2020","21","1","2020","0","0"
"1/20/2020","20","1","2020","0","0"
"1/19/2020","19","1","2020","0","0"
"1/18/2020","18","1","2020","0","0"
"1/17/2020","17","1","2020","0","0"
"1/16/2020","16","1","2020","0","0"
"1/15/2020","15","1","2020","0","0"
"1/14/2020","14","1","2020","0","0"
"1/13/2020","13","1","2020","0","0"
"1/12/2020","12","1","2020","0","0"
"1/11/2020","11","1","2020","0","0"
"1/10/2020","10","1","2020","0","0"
"1/9/2020","9","1","2020","0","0"
"1/8/2020","8","1","2020","0","0"
"1/7/2020","7","1","2020","0","0"
"1/6/2020","6","1","2020","0","0"
"1/5/2020","5","1","2020","0","0"
"1/4/2020","4","1","2020","0","0"
"1/3/2020","3","1","2020","0","0"
"1/2/2020","2","1","2020","0","0"
"1/1/2020","1","1","2020","0","0"
"12/31/2019","31","12","2019","0","0"
